date,price,ma_200,simplified_mvrv,mvrv_z_score,market_cap,hash_rate,rhodl_proxy,fear_greed_index
2025-03-25,87327.72969669085,,,,1745456932500.0,842582548.8719956,,46
2025-03-26,87520.58391530563,,,,1743500816859.375,859547298.1781431,,47
2025-03-26,87520.58391530563,,,,1739679521437.5,859547298.1781431,,47
2025-03-26,87520.58391530563,,,,1747346843531.25,859547298.1781431,,47
2025-03-26,87520.58391530563,,,,1723921309828.125,859547298.1781431,,47
2025-03-26,87520.58391530563,,,,1734862902600.0,859547298.1781431,,47
2025-03-27,86960.8555491039,,,,1735148894612.5,836927632.4366131,,40
2025-03-27,86960.8555491039,,,,1736268278975.0,836927632.4366131,,40
2025-03-27,86960.8555491039,,,,1727664747775.0,836927632.4366131,,40
2025-03-27,86960.8555491039,,,,1728089609200.0,836927632.4366131,,40
2025-03-27,86960.8555491039,,,,1729407404781.25,836927632.4366131,,40
2025-03-28,87227.27158032371,,,,1737809159275.0,870857131.0489082,,44
2025-03-28,87227.27158032371,,,,1708826628006.25,870857131.0489082,,44
2025-03-28,87227.27158032371,,,,1691551296050.0,870857131.0489082,,44
2025-03-28,87227.27158032371,,,,1675229069146.875,870857131.0489082,,44
2025-03-28,87227.27158032371,,,,1665751852046.875,870857131.0489082,,44
2025-03-29,84359.46915506005,,,,1676177805312.5,797343217.3889353,,26
2025-03-29,84359.46915506005,,,,1665093172937.5,797343217.3889353,,26
2025-03-29,84359.46915506005,,,,1631585104187.5,797343217.3889353,,26
2025-03-29,84359.46915506005,,,,1628755156250.0,797343217.3889353,,26
2025-03-29,84359.46915506005,,,,1641383535781.25,797343217.3889353,,26
2025-03-30,82679.17255385047,,,,1657008469125.0,774723551.6474054,,32
2025-03-30,82679.17255385047,,,,1656043939906.25,774723551.6474054,,32
2025-03-30,82679.17255385047,,,,1646387674750.0,774723551.6474054,,32
2025-03-30,82679.17255385047,,,,1641315332812.5,774723551.6474054,,32
2025-03-31,82356.38111183756,,,,1618462438875.0,836927632.4366131,,34
2025-03-31,82356.38111183756,,,,1633988410625.0,836927632.4366131,,34
2025-03-31,82356.38111183756,,,,1632527637000.0,836927632.4366131,,34
2025-03-31,82356.38111183756,,,,1657618915937.5,836927632.4366131,,34
2025-03-31,82356.38111183756,,,,1638357555312.5,836927632.4366131,,34
2025-04-01,82514.09365397849,,,,1644001471978.125,763413718.7766403,,34
2025-04-01,82514.09365397849,,,,1658238277250.0,763413718.7766403,,34
2025-04-01,82514.09365397849,,,,1667652629150.0,763413718.7766403,,34
2025-04-01,82514.09365397849,,,,1692903434787.5,763413718.7766403,,34
2025-04-01,82514.09365397849,,,,1694260903275.0,763413718.7766403,,34
2025-04-02,85237.5876052852,,,,1681409181037.5,972645626.8857933,,44
2025-04-02,85237.5876052852,,,,1669272032756.25,972645626.8857933,,44
2025-04-02,85237.5876052852,,,,1676900834100.0,972645626.8857933,,44
2025-04-02,85237.5876052852,,,,1717234900687.5,972645626.8857933,,44
2025-04-02,85237.5876052852,,,,1725022502775.0,972645626.8857933,,44
